Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOG,GOOG,GOOG,GOOG,GOOG
0,2014-03-06,30.267637252807617,30.429943548158963,30.242571296561334,30.33389887723151,50914126
1,2014-03-07,30.14801788330078,30.450791613010075,30.064879639198782,30.44607642307712,60831159
2,2014-03-10,30.068103790283203,30.21874659642086,29.88247051301363,30.1703517587204,48766105
3,2014-03-11,29.780717849731445,30.136352619702997,29.69757771000038,30.122701185887603,68776830
4,2014-03-12,29.962133407592773,29.975782940678165,29.388602149394924,29.691622924202473,78866507
5,2014-03-13,29.509464263916016,30.04155092974614,29.402748169016125,29.978265516412957,94175675
6,2014-03-14,29.105932235717773,29.554384616152042,29.0992310025015,29.334004127980606,92099924
7,2014-03-17,29.58490753173828,29.708251268583062,29.23771106693876,29.266004105619935,86808163
8,2014-03-18,30.060409545898438,30.067110778713232,29.60873201023094,29.648688538506097,72872123
9,2014-03-19,29.762353897094727,30.078528182376242,29.642235340256942,30.07381299259863,64757822
10,2014-03-20,29.71048355102539,30.019460553466917,29.665811833710993,29.779723287472876,67640587
11,2014-03-21,29.360061645507812,30.01996015851293,29.34542004034627,29.937565019601507,128821050
12,2014-03-24,28.736896514892578,29.406223510150447,28.439581083875158,29.388603790253473,121939352
13,2014-03-25,28.756498336791992,29.03246900934391,28.46563899248114,28.937171247280038,96769361
14,2014-03-26,28.092636108398438,29.075406368564572,28.080970717053336,28.838151161762948,103586819
15,2014-03-27,27.746849060058594,28.220840618903498,27.47159866621114,28.220840618903498,262719
16,2014-03-28,27.822866439819336,28.142834148524884,27.7572833033363,27.882983681422196,824257
17,2014-03-31,27.672821044921875,28.17115828208588,27.670835001571913,28.1656923867036,216593
18,2014-04-01,28.179105758666992,28.24320079291966,27.75927140606253,27.75927140606253,158434
19,2014-04-02,28.171157836914062,30.050724526855266,27.93217505879192,29.81025174111421,2942055
20,2014-04-03,28.30729103088379,29.178759204729953,28.028560789430927,28.31275692597733,101983228
21,2014-04-04,26.98568344116211,28.706260211789036,26.978727538347197,28.551244306570894,127386783
22,2014-04-07,26.737756729125977,27.250997826530934,26.191226125356913,26.866439030245356,88033033
23,2014-04-08,27.56997299194336,27.574940950843075,26.909663975768463,26.95885323064314,63024560
24,2014-04-09,28.0290584564209,28.090169671665915,27.47308798641886,27.804483530299702,66616395
25,2014-04-10,26.876873016357422,28.071786891616515,26.82470374516651,28.071786891616515,80737057
26,2014-04-11,26.362638473510742,26.829672242534354,26.160421251821635,26.45952317879798,78496923
27,2014-04-14,26.458032608032227,27.0333788964713,26.310966577490284,26.742724786795907,51501009
28,2014-04-15,26.65279769897461,26.752664324332514,25.75946776736372,26.67167746482814,77101101
29,2014-04-16,27.651456832885742,27.67431058492374,26.82967201947777,26.978727896283445,97865955
30,2014-04-17,26.635902404785156,27.301677333857892,26.389963725917212,27.26739385528581,136190888
31,2014-04-21,26.264259338378906,26.665711827433427,26.11421330385374,26.635900274582742,51334553
32,2014-04-22,26.57181167602539,26.692048070116126,26.20911264937458,26.265257809482513,47307527
33,2014-04-23,26.1807918548584,26.52510713703335,26.146510277657708,26.52113124949017,41046384
34,2014-04-24,26.09235382080078,26.414807432403205,25.941311901214704,26.336306457386183,37663121
35,2014-04-25,25.64618492126465,26.06949910907897,25.608425393018226,25.960688646491274,42007014
36,2014-04-28,25.694381713867188,25.76642282328022,24.981407354320684,25.695871721511885,66710653
37,2014-04-29,26.218551635742188,26.305996455775567,25.65314127095137,25.681958853837337,53981801
38,2014-04-30,26.166879653930664,26.23345676407386,25.961184492276455,26.21358302821798,35023895
39,2014-05-01,26.399898529052734,26.478399494775473,26.02875364121517,26.189235424209812,38110345
40,2014-05-02,26.22998046875,26.531566377435716,26.114712033300766,26.519642515273368,33770463
41,2014-05-05,26.224016189575195,26.278173401203215,25.901564501237615,26.075460160514428,20482080
42,2014-05-06,25.594514846801758,26.17433307119327,25.590540859613956,26.09583209520472,33780490
43,2014-05-07,25.337146759033203,25.671028180206058,25.0062491539752,25.62680878559185,64486563
44,2014-05-08,25.388822555541992,25.698356448571065,25.162755700322993,25.262622325301493,40426688
45,2014-05-09,25.77288055419922,25.83101175324313,25.050964308106856,25.376397915099528,48789585
46,2014-05-12,26.328853607177734,26.342267477229306,25.78679489923932,26.010375871272064,38250730
47,2014-05-13,26.486352920532227,26.634412926699834,26.308483259057017,26.377048317044423,33068541
48,2014-05-14,26.166385650634766,26.48188146941688,26.098814563372457,26.48188146941688,23835261
49,2014-05-15,25.834985733032227,26.127629671879376,25.707793445624397,26.119181861382135,34087331
50,2014-05-16,25.86728286743164,25.925414070058565,25.6094203254229,25.9050423970943,29705333
51,2014-05-19,26.276185989379883,26.321895391514587,25.71589184141371,25.821076110722483,25555972
52,2014-05-20,26.321399688720703,26.642361380107193,26.148994031280697,26.319907780644968,35695734
53,2014-05-21,26.777008056640625,26.789080158921863,26.427724811433915,26.476912166462373,23925508
54,2014-05-22,27.081077575683594,27.207275895122482,26.868426508541994,26.88581626521899,32316482
55,2014-05-23,27.460668563842773,27.507371942269646,27.01350661667143,27.190384211830228,38643806
56,2014-05-27,28.118988037109375,28.121472016600897,27.54264587895937,27.624626704779086,42083223
